DATE,CUSR0000SEHF01
2017-11-01,212.790
2017-12-01,213.172
2018-01-01,213.111
2018-02-01,213.347
2018-03-01,213.018
2018-04-01,212.537
2018-05-01,213.256
2018-06-01,212.703
2018-07-01,211.908
2018-08-01,212.624
2018-09-01,211.236
2018-10-01,213.281
2018-11-01,213.423
2018-12-01,214.966
2019-01-01,213.573
2019-02-01,212.962
2019-03-01,213.439
2019-04-01,213.336
2019-05-01,213.046
2019-06-01,212.892
2019-07-01,213.602
2019-08-01,213.210
2019-09-01,213.244
2019-10-01,213.701
2019-11-01,213.736
2019-12-01,213.531
2020-01-01,214.475
2020-02-01,213.922
2020-03-01,213.790
2020-04-01,213.453
2020-05-01,212.846
2020-06-01,213.764
2020-07-01,213.894
2020-08-01,213.632
2020-09-01,215.108
2020-10-01,215.919
2020-11-01,216.575
2020-12-01,217.776
2021-01-01,217.695
2021-02-01,218.677
2021-03-01,219.222
2021-04-01,220.851
2021-05-01,221.880
2021-06-01,222.381
2021-07-01,222.842
2021-08-01,225.160
2021-09-01,226.620
2021-10-01,229.680
2021-11-01,230.122
2021-12-01,231.281
2022-01-01,240.898
2022-02-01,238.283
2022-03-01,243.552
2022-04-01,245.247
2022-05-01,248.505
2022-06-01,252.804
2022-07-01,256.780
2022-08-01,260.643
2022-09-01,261.777
