DATE,CPIHOSSL
2014-02-01,231.084
2014-03-01,232.119
2014-04-01,232.014
2014-05-01,232.785
2014-06-01,233.117
2014-07-01,233.695
2014-08-01,233.928
2014-09-01,234.234
2014-10-01,234.656
2014-11-01,235.000
2014-12-01,235.425
2015-01-01,235.735
2015-02-01,236.200
2015-03-01,236.602
2015-04-01,237.086
2015-05-01,237.210
2015-06-01,237.804
2015-07-01,238.334
2015-08-01,238.700
2015-09-01,239.236
2015-10-01,239.593
2015-11-01,240.001
2015-12-01,240.224
2016-01-01,240.673
2016-02-01,241.124
2016-03-01,241.587
2016-04-01,242.071
2016-05-01,242.833
2016-06-01,243.515
2016-07-01,244.224
2016-08-01,244.911
2016-09-01,245.755
2016-10-01,246.480
2016-11-01,246.985
2016-12-01,247.543
2017-01-01,248.164
2017-02-01,248.807
2017-03-01,249.098
2017-04-01,249.800
2017-05-01,250.408
2017-06-01,250.933
2017-07-01,251.210
2017-08-01,252.086
2017-09-01,252.603
2017-10-01,253.292
2017-11-01,253.798
2017-12-01,254.575
2018-01-01,255.098
2018-02-01,255.798
2018-03-01,256.469
2018-04-01,257.174
2018-05-01,257.876
2018-06-01,258.034
2018-07-01,258.615
2018-08-01,259.405
2018-09-01,259.628
2018-10-01,260.436
2018-11-01,261.085
2018-12-01,262.113
2019-01-01,262.525
2019-02-01,263.131
2019-03-01,263.955
2019-04-01,264.605
2019-05-01,265.111
2019-06-01,265.823
2019-07-01,266.440
2019-08-01,266.809
2019-09-01,267.555
2019-10-01,267.950
2019-11-01,268.488
2019-12-01,268.938
2020-01-01,269.752
2020-02-01,270.354
2020-03-01,270.345
2020-04-01,270.303
2020-05-01,270.825
2020-06-01,271.256
2020-07-01,271.835
2020-08-01,272.479
2020-09-01,272.897
2020-10-01,273.127
2020-11-01,273.780
2020-12-01,274.336
2021-01-01,274.582
2021-02-01,275.181
2021-03-01,276.125
2021-04-01,277.364
2021-05-01,278.650
2021-06-01,279.750
2021-07-01,280.900
2021-08-01,281.979
2021-09-01,283.532
2021-10-01,285.453
2021-11-01,286.849
2021-12-01,288.259
2022-01-01,290.151
2022-02-01,291.549
2022-03-01,293.668
2022-04-01,295.376
2022-05-01,297.881
2022-06-01,300.290
2022-07-01,301.639
2022-08-01,304.109
2022-09-01,306.323
