DATE,CUSR0000SETB01
2021-09-01,274.721
2021-10-01,287.303
2021-11-01,300.351
2021-12-01,304.315
2022-01-01,301.791
2022-02-01,321.849
2022-03-01,380.763
2022-04-01,357.377
2022-05-01,372.063
2022-06-01,413.606
2022-07-01,381.710
2022-08-01,341.383
2022-09-01,324.646
