DATE,CUSR0000SAH1
2014-02-01,267.481
2014-03-01,268.287
2014-04-01,268.923
2014-05-01,269.715
2014-06-01,270.149
2014-07-01,270.891
2014-08-01,271.493
2014-09-01,272.118
2014-10-01,272.730
2014-11-01,273.436
2014-12-01,273.997
2015-01-01,274.762
2015-02-01,275.470
2015-03-01,276.258
2015-04-01,277.003
2015-05-01,277.524
2015-06-01,278.284
2015-07-01,279.329
2015-08-01,279.921
2015-09-01,280.737
2015-10-01,281.429
2015-11-01,282.129
2015-12-01,282.779
2016-01-01,283.714
2016-02-01,284.502
2016-03-01,285.122
2016-04-01,285.853
2016-05-01,286.855
2016-06-01,287.819
2016-07-01,288.524
2016-08-01,289.367
2016-09-01,290.369
2016-10-01,291.378
2016-11-01,292.227
2016-12-01,293.066
2017-01-01,293.769
2017-02-01,294.543
2017-03-01,295.012
2017-04-01,295.741
2017-05-01,296.461
2017-06-01,297.215
2017-07-01,297.676
2017-08-01,298.904
2017-09-01,299.711
2017-10-01,300.814
2017-11-01,301.430
2017-12-01,302.428
2018-01-01,303.205
2018-02-01,303.769
2018-03-01,304.799
2018-04-01,305.689
2018-05-01,306.798
2018-06-01,307.204
2018-07-01,308.049
2018-08-01,308.979
2018-09-01,309.551
2018-10-01,310.426
2018-11-01,311.279
2018-12-01,312.194
2019-01-01,313.004
2019-02-01,314.017
2019-03-01,315.069
2019-04-01,316.199
2019-05-01,317.051
2019-06-01,317.953
2019-07-01,318.734
2019-08-01,319.332
2019-09-01,320.419
2019-10-01,320.861
2019-11-01,321.629
2019-12-01,322.306
2020-01-01,323.435
2020-02-01,324.419
2020-03-01,324.535
2020-04-01,324.453
2020-05-01,325.164
2020-06-01,325.495
2020-07-01,326.193
2020-08-01,326.674
2020-09-01,326.988
2020-10-01,327.389
2020-11-01,327.774
2020-12-01,328.229
2021-01-01,328.593
2021-02-01,329.121
2021-03-01,330.033
2021-04-01,331.272
2021-05-01,332.321
2021-06-01,333.807
2021-07-01,335.262
2021-08-01,335.888
2021-09-01,337.298
2021-10-01,338.865
2021-11-01,340.475
2021-12-01,341.963
2022-01-01,342.974
2022-02-01,344.758
2022-03-01,346.516
2022-04-01,348.290
2022-05-01,350.418
2022-06-01,352.550
2022-07-01,354.449
2022-08-01,356.894
2022-09-01,359.567
