DATE,CUSR0000SETA01
2014-02-01,145.625
2014-03-01,145.646
2014-04-01,145.986
2014-05-01,146.140
2014-06-01,146.099
2014-07-01,146.255
2014-08-01,146.464
2014-09-01,146.717
2014-10-01,146.928
2014-11-01,146.959
2014-12-01,146.886
2015-01-01,146.104
2015-02-01,146.316
2015-03-01,146.672
2015-04-01,147.024
2015-05-01,147.327
2015-06-01,147.489
2015-07-01,147.462
2015-08-01,147.410
2015-09-01,147.611
2015-10-01,147.481
2015-11-01,147.466
2015-12-01,147.272
2016-01-01,146.706
2016-02-01,147.374
2016-03-01,147.443
2016-04-01,147.213
2016-05-01,147.175
2016-06-01,147.046
2016-07-01,147.303
2016-08-01,147.335
2016-09-01,147.482
2016-10-01,147.784
2016-11-01,147.737
2016-12-01,147.686
2017-01-01,148.166
2017-02-01,148.284
2017-03-01,148.053
2017-04-01,148.147
2017-05-01,147.786
2017-06-01,147.097
2017-07-01,146.198
2017-08-01,146.097
2017-09-01,145.747
2017-10-01,145.474
2017-11-01,145.901
2017-12-01,146.790
2018-01-01,146.344
2018-02-01,146.152
2018-03-01,146.310
2018-04-01,145.851
2018-05-01,146.164
2018-06-01,146.394
2018-07-01,146.475
2018-08-01,146.491
2018-09-01,146.404
2018-10-01,146.147
2018-11-01,146.258
2018-12-01,146.386
2019-01-01,146.428
2019-02-01,146.586
2019-03-01,147.381
2019-04-01,147.628
2019-05-01,147.477
2019-06-01,147.249
2019-07-01,146.984
2019-08-01,146.796
2019-09-01,146.535
2019-10-01,146.271
2019-11-01,146.139
2019-12-01,146.457
2020-01-01,146.611
2020-02-01,147.198
2020-03-01,146.772
2020-04-01,146.875
2020-05-01,147.093
2020-06-01,146.954
2020-07-01,147.690
2020-08-01,147.696
2020-09-01,148.016
2020-10-01,148.452
2020-11-01,148.445
2020-12-01,149.293
2021-01-01,148.747
2021-02-01,148.955
2021-03-01,149.010
2021-04-01,149.827
2021-05-01,152.057
2021-06-01,154.687
2021-07-01,157.035
2021-08-01,158.919
2021-09-01,160.927
2021-10-01,163.028
2021-11-01,164.906
2021-12-01,166.848
2022-01-01,166.875
2022-02-01,167.398
2022-03-01,167.705
2022-04-01,169.624
2022-05-01,171.254
2022-06-01,172.369
2022-07-01,173.432
2022-08-01,174.891
2022-09-01,176.058
